Title,Document,EPA Comment Letter Date,Federal Register Date,Lead Agency,Federal Cooperating Agency(ies),State
Wisconsin Highway Project  Mobility Motorized and Nonmotorized Travel Enhancements  Updated Information on New Alternatives  and Evaluates a Staged Improvement   US18/151 (Verona Road) and the US 12/14 (Beltine) Corridors  Dane County  WI,Draft Supplement,10/20/2010,09/03/2010,Federal Highway Administration,,WI
Westside Subway Extension Transit Corridor Project  Extension of the Existing Metro Purple Line and Metro Red Line Heavy Rail Subway  Los Angeles County Metropolitan Transportation Authority  Los Angeles County  CA,Draft,10/15/2010,09/03/2010,Federal Transit Administration,,CA
Lake Superior National Estuarine Research Reserves to be known as the Lake Superior Reserve Proposed Designation  To Provide Greater Protection  Research and Education Opportunities to 16 697 Acres of the St. Louis River Estuary   WI,Final,10/04/2010,09/03/2010,National Oceanic and Atmospheric Administration,,WI
Stehekin River Corridor Implementation Plan  General Management Plan  Implementation  Lake Chelan National Recreation Area  North Cascades National Park Service Complex  WA,Draft,02/11/2011,09/03/2010,National Park Service,,WA
South Florida and Caribbean Parks Exotic Plant Management Plan   Manage and Control Exotic Plants in Nine Parks   Five in South Florida Parks:  Big Cypress National Preserve  Biscayne National Park  Canaveral National Seashore  Dry Tortugas National Park  Everglades National Park and Four in Caribbean Parks: Buck Island Reef National Monument  Christiansted National Historic Site  Salt River Bay National Historic Park and Ecological Preserve and Virgin Islands National Park  Florida and Caribbean,Final,10/04/2010,09/03/2010,National Park Service,,
Vogtle Electric Generating Plant Units 3 and 4  Construction and Operation  Application for Combined Licenses (COLs)  NUREG-1947  Waynesbora  GA,Draft,11/15/2010,09/03/2010,Nuclear Regulatory Commission,,GA
Regional Connector Transit Corridor Project  Proposes a Light Rail Extension Connecting Metro Gold Line to the Metro Blue Line and the Metro Expo Line  Los Angeles County  CA,Draft,10/08/2010,09/03/2010,Federal Transit Administration,,CA
Swan Falls Hydroelectric Project  Application for a New License for the 25-megawatt Hydroelectric Facility (FERC Project No. 503-048)  Snake River  Ada and Owyhee Counties  ID,Final,10/04/2010,09/03/2010,Federal Energy Regulatory Commission,,ID
GENERIC - License Renewal of Nuclear Plants for Kewaunee Power Station  Supplement 40 to NUREG-1437  Kewaunee County  WI,Final,10/06/2010,09/03/2010,Nuclear Regulatory Commission,,WI
Douglas and Nolichucky Tributary Reservoirs Land Management Plan  Implementation  Cocke  Greene  Hamblen  Jefferson and Sevier Counties  TN,Final,09/03/2010,09/03/2010,Tennessee Valley Authority,,TN
Tonopah Solar Energy Crescent Dunes Solar Energy Project  a 7 680-Acre Right-of-Way (ROW) on Public Lands to Construct a Concentrated Solar Thermal Power Plant Facility  Nye County  NV,Draft,10/18/2010,09/03/2010,Bureau of Land Management,,NV
Upper Truckee River Restoration and Golf Course Reconfiguration Project  To Restore Natural Geomorphic Ecological Process  Lake Tahoe  EL Dorado County  CA,Draft,11/01/2010,09/03/2010,Bureau of Reclamation,,CA
CA-76 South Mission road to Interstate 15 Highway Improvement Project  Proposes to Widen and Realign/ a Two Lane Highway  San Diego County  CA,Draft,11/01/2010,09/03/2010,Federal Highway Administration,,CA
Jarbidge Draft Resource Management Plan  Implementation  Elmore  Owy Lee  and Twin Falls Countiesin South-Central  ID and Elko County in Northern  CA,Draft,01/31/2011,09/03/2010,Bureau of Land Management,,ID
Interstate80/Interstate 680/State Route 12 Interchange Project   Proposal to Ease Traffic Congestions  Accommodate Projected Growth  and Improve Safety  Solano County  CA,Draft,10/18/2010,09/03/2010,Federal Highway Administration,,CA
Jarbidge Draft Resource Management Plan  Implementation  Elmore  Owy Lee  and Twin Falls Countiesin South-Central  ID and Elko County in Northern  CA,Draft,01/31/2011,09/03/2010,Bureau of Land Management,,ID
Cattle Point Road Realignment Project  To Maintain Vehicular  Bicycle  and Pedestrian Road Access  San Juan Island National Historical Park and Cattle Point Natural Resources Conservation Area  San Juan County  WA,Draft,11/01/2010,09/03/2010,Federal Highway Administration,,WA
Genesis Solar Energy Project  Application for a Right-of-Way Grant to Construct  Operate and Decommission a Solar Thermal Facility on Public Lands  California Desert Conservation Area Plan  Riverside County  CA,Final,09/27/2010,08/27/2010,Bureau of Land Management,,CA
LYNX - Blue Line Extension Northeast Corridor Light Rail Project  Proposed Light Rail Extension from Center City Charlotte to I-485 near the Mecklenburg-Cabarrus County Line  Charlotte-Mecklenburg County  NC,Draft,10/08/2010,08/27/2010,Federal Transit Administration,,NC
Fort Lewis Army Growth and Force Structures Realignment  Implementation  Fort Lewis and Yakima Training Center  Kittitas  Pierce  Thurston and Yakima Counties  WA,Final,09/27/2010,08/27/2010,United States Army,,WA
Moore Ranch In-Situ Uranium Recovery (ISR) Project  Proposal to Construct  Operate  Conduct Aquifer Restoration  and Decommission an In-Situ Recovery (ISR) Facility   NUREG-1910  Campbell County  WY,Final,09/27/2010,08/27/2010,Nuclear Regulatory Commission,,WY
First Solar Desert Sunlight Solar Farm (DSSF) Project  Proposing To Develop a 550-Megawatt Photovoltaic Solar Project  Also Proposes to Facilitate the  Construction and Operation of the Red Bluff Substation  California Desert Conservation Area (CDCA Plan  Riverside County  CA,Draft,11/23/2010,08/27/2010,Bureau of Land Management,,CA
Philadelphia International Airport (PHL) Capacity Enhancement Program (CEP) To Accommodate Current and Future Aviation Demand  Funding and US Army COE Section 404 Permit  Philadelphia  PA,Final,09/27/2010,08/27/2010,Federal Aviation Administration,,PA
Amendment 11 to the Atlantic Mackerel  Squid  and Butterfish (MSB)  Update Information MSB Essential Fish Habitat; Establish a Mackerel Recreational Allocation ; Establish a Cap to Limit the At-Sea Processing of Mackerel   Fishery Management Plan (FMP)  Establish an Atlantic Mackerel Limited Access Program  Implementation,Draft Supplement,10/12/2010,08/27/2010,National Oceanic and Atmospheric Administration,,
Harpers Ferry National Historical Park  General Management Plan  Implementation  Harpers Ferry  Jefferson County  WV;  Loudoun County  VA; and Washington County  MD,Final,12/09/2009,08/27/2010,National Park Service,,WV - VA
Monocacy National Battlefield  General Management Plan  Implementation  Frederick County  MD,Final,12/14/2009,08/27/2010,National Park Service,,MD
Harvest Specifications and Management Measures for the 2011-2012 Pacific Coast Groundfish Fishery and Amendment 16-5  to the Pacific Coast Groundfish Fishery Management Plan  and Adopt a Rebuilding Plan for Petrale Sole  RIN-0648-BA01  WA  OR and CA,Draft,10/07/2010,08/27/2010,National Oceanic and Atmospheric Administration,,
Off-Highway Vehicle (OHV) Management Plan  Including Forest Plan Amendment #17  Designation of Roads  Trails and Areas for OHV Use on Mt. Hood National Forest  Implementation  Clackamas  Hood River  Multnomah  and Wasco Counties  OR,Final,09/27/2010,08/27/2010,Forest Service,,OR
PROGRAMMATIC - Coral Restoration in the Florida Keys and Flower Garden Banks National Marine Sanctuaries  Implementation  FL  TX  and LA,Final,09/27/2010,08/27/2010,National Oceanic and Atmospheric Administration,,
Blythe Solar Power Project (09-AFC-6)  Application for Right-of Way Grant to Construct and Operate  and Decommission a Solar Thermal Facility on Public Lands  Riverside County  CA,Final,09/20/2010,08/20/2010,Bureau of Land Management,,CA
Abengoa Biorefinery Project  To Support the Design  Construction  and Startup of a Commercial-Scale Integrated Biorefinery  Federal Funding  Located near the City Hugoton  Stevens County  KS,Final,09/20/2010,08/20/2010,Department of Energy,,KS
GENERIC EIS - License Renewal of Nuclear Plants  Regarding Palo Verde Nuclear Generating Station  Supplement 43  NUREG-1437  Maricopa County  AZ,Draft,10/28/2010,08/20/2010,Nuclear Regulatory Commission,,AZ
South Unit -  Badlands National Park  General Management Plan  Implementation  SD,Draft,10/17/2010,08/20/2010,National Park Service,,SD
Minidoka Dam Spillway Replacement Project  To Prevent Structural Failure of the Minidoka Dam Spillway and Canal Headworks  Lake Walcott  Minidoka County  ID,Final,09/20/2010,08/20/2010,Bureau of Reclamation,,ID
Cortez Hills Expansion Project  Updated Information to Refine the Analysis of Specific Air Quality Effects and Dewatering Mitigation Effectiveness   Proposes to Construct and Operate a New Facilities and Expansion of the Existing Open-Pit Gold Mining and Processing Operations  Crescent Valley  Lander and Eureka Counties  NV,Draft Supplement,10/01/2010,08/20/2010,Bureau of Land Management,,NV
Powder River Training Complex Project  Proposal to Improve Airspace for Training  Primarily  B-1 Aircrews at Ellsworth AFB  South Dakota  and B-52 Aircrews at Minot AFB  North Dakota,Draft,11/19/2010,08/20/2010,USAF,,
Alamogordo Regional Water Supply Project  Construct and Operate Groundwater Wells  Right-of-Way Application  Otero County  NM,Draft,10/07/2010,08/20/2010,Bureau of Land Management,,NM
Amendment 17A to the Fishery Management Plan for the Snapper Grouper Fishery of the South Atlantic Region  To Implement Long-Term Management Measures Expected to End Overfishing of the Red Snapper Stock  South Atlantic Region,Final,08/17/2010,08/20/2010,National Oceanic and Atmospheric Administration,,
River Valley Intermodal Facilities  New and Updated Information  Construction and Operation of Multi-Modal Transportation  Complex  US Army COE Section 10 and 404 Permits  City of Russellville  Pope County  AR,Draft Supplement,10/06/2010,08/20/2010,Federal Highway Administration,,AR
US 14 Construction  Owatonna to Kasson  Funding and Section 404 Permit  Dodge and Steele Counties  MN,Final,09/16/2010,08/20/2010,Federal Highway Administration,,MN
Cumberland Gap National Historical Park  General Management Plan  Implementation  Middlesboro  KY,Final,09/20/2010,08/20/2010,National Park Service,,KY
Levy Nuclear Plant Units 1 and 2  Application  for Combined Licenses (COLs) for Construction Permits and Operating Licenses  (NUREG-1941)  Levy County  FL  a,Draft,10/26/2010,08/13/2010,Nuclear Regulatory Commission,,FL
Goethals Bridge Replacement Project  Construction of  Bridge across the Arthur Kill between Staten Island  New York and Elizabeth  New Jersey  Funding and USCG Bridge Permit  NY and NJ,Final,09/09/2010,08/13/2010,U.S. Coast Guard,,
Lewis and Clark National Wildlife Refuge and Julia Butler Hansen Refuge for the Columbian White-tailed Deer  Comprehensive Conservation Plan  Implementation  Wahkiakum County  WA and Clatsop and Columbia Counties  OR,Final,09/13/2010,08/13/2010,Fish and Wildlife Service,,
Comanche Peak Nuclear Power Plant Units 3 and 4  Application for Combined Licenses (COLs) for Construction Permits and Operating Licenses  (NUREG-1943)  Hood and Somervell Counties  TX,Draft,10/26/2010,08/13/2010,Nuclear Regulatory Commission,,TX
Ione Band of Miwok Indians Project  Proposed 228.04 Acre Fee-to-Trust Land Transfer and Casino Project  Amador County  CA,Final,09/13/2010,08/13/2010,Bureau of Indian Affairs,,CA
158th Fighter Wing Vermont Air National Guard Project  Proposed Realignment of National Guard Avenue and Main Gate Construction  Burlington International Airport in South Burlington  VT,Final,09/07/2010,08/13/2010,Department of Defense,,VT
Chevron Energy Solutions Lucerne Valley Solar Project  Proposing To Develop a 45-megawatt (MW) Solar Photovotaic (PV) Plant and Associated Facilities on 516 Acres of Federal Land Managed  California Desert Conservation Area Plan Amendment  San Bernardino County  CA,Final,09/13/2010,08/13/2010,Bureau of Land Management,,CA
Little Snake Resource Management Plan  Implementation  Moffat  Routt and Rio Blanco Counties  Craig CO,Final,09/13/2010,08/13/2010,Bureau of Land Management,,CO
Little Snake Resource Management Plan  Implementation  Moffat  Routt and Rio Blanco Counties  Craig CO,Final,09/13/2010,08/13/2010,Bureau of Land Management,,CO
Nabesna Off-Road Vehicle Management Plan  Implementation  Wrangell-St. Elias National Park and Preserve  AK,Draft,11/01/2010,08/13/2010,National Park Service,,AK
South Fowl Lake Snowmobile Access Project  Proposing a Replacement Snowmobile Trail between McFarland Lake and South Fowl Lake  Gunflint Ranger District  Superior National Forest  Eatern Region  Cook County  MN,Draft,09/27/2010,08/13/2010,Forest Service,,MN
Umatilla National Forest Invasive Plants Treatment  Propose to Treat Invasive Plants and Restore Treated Sites  Asotin  Columbia  Garfield  Walla Walla Counties  WA and Grant  Morrow  Umatilla  Union  Wallowa  Wheeler Counties  OR,Final,09/13/2010,08/13/2010,Forest Service,,
Fort Stewart Training Range and Garrison Support Facilities Construction and Operation  Liberty  Long  Bryan  Evans and Tattnall Counties  GA,Final,09/10/2010,08/13/2010,United States Army,,GA
MN-371 North Improvement Project  Reconstruction from the Intersection of Crow Wing County Road 18 in Nisswa to the Intersection of Cass County Road 42 in Pine River  Funding  NPDES Permit  and US Army COE Section 404 Permit Issuance  Crow Wing and Cass Counties  MN,Revised Final,09/13/2010,08/13/2010,Federal Highway Administration,,MN
Marine Corps Base Camp Pendleton Basewide Utilities Infrastructure Construct and Operate Six Utility Infrastructure Project  San Diego County  CA,Final,09/07/2010,08/06/2010,United States Navy,,CA
Renewal of Authorization to Use Pinecastle Range  New Information that was not Available in the 2002 FEIS   Continued Use of the Range for a 20 Year Period  Special Use Permit Issuance  Ocala National Forest  Marion and Lake Counties  FL,Final,09/03/2010,08/06/2010,United States Navy,,FL
