Title,Document,EPA Comment Letter Date,Federal Register Date,Lead Agency,Federal Cooperating Agency(ies),State
Draft Programmatic Environmental Impact Statement Addressing the Issuance of Incidental Take Permits for Four Wind Energy Projects in Hawai'i,Draft,06/10/2019,04/26/2019,Fish and Wildlife Service,,HI
Crow Creek Pipeline Project,Final,05/24/2019,04/26/2019,Forest Service,,ID - WY
Annova LNG Brownsville Project,Final,,04/26/2019,Federal Energy Regulatory Commission,"DOE, DOT, EPA, FAA, USFWS, NOAA, NPS, USACE, USCG",TX
Bakersfield Field Office Hydraulic Fracturing DSEIS,Draft Supplement,,04/26/2019,Bureau of Land Management,,CA
Converse County Oil and Gas Project Supplemental DEIS,Draft Supplement,06/06/2019,04/26/2019,Bureau of Land Management,"EPA, USFWS, USFS, NPS",WY
San Pedro Riparian National Conservation Area Proposed Resource Management Plan,Final,05/24/2019,04/26/2019,Bureau of Land Management,,AZ
Gulf LNG Liquefaction Project,Final,05/20/2019,04/26/2019,Federal Energy Regulatory Commission,"DOE, EPA, USFWS, NOAA, USACE, USCG",MS
West Mojave Route Network Project_Final Supplemental Environmental Impact Statement_Land Use Plan Amendment,Final Supplement,,04/26/2019,Bureau of Land Management,,CA
Authorization of Incidental Take and Implementation of the LCRA Transmission Services Corporation Habitat Conservation Plan,Draft,,04/26/2019,Fish and Wildlife Service,,TX
"Eagle LNG Partners Jacksonville, LLC Jacksonville Project",Final,04/23/2019,04/19/2019,Federal Energy Regulatory Commission,"DOE, DOT, USACE, USCG",FL
Redding Rancheria Fee-to-Trust and Casino Project,Draft,06/03/2019,04/19/2019,Bureau of Indian Affairs,EPA,CA
Proposed Habitat Conservation Plan and Incidental Take Permit for Sierra Pacific Industries,Draft,07/01/2019,04/19/2019,Fish and Wildlife Service,USFS,CA
Moneta Divide Natural Gas and Oil Development Project,Draft,07/18/2019,04/19/2019,Bureau of Land Management,,WY
Hunts Point Interstate Access Improvement Project,Final,,04/19/2019,Federal Highway Administration,"EPA, USACE, USCG",NY
Medicine Bow Landscape Vegetation Analysis (LaVA) Project,Final,05/16/2019,04/19/2019,Forest Service,"BLM, USDA, USFWS",WY
Copper Flat Copper Mine,Final,,04/19/2019,Bureau of Land Management,,NM
B.F. Sisk Dam Safety of Dams Modification Project Draft Environmental Impact Statement/ Environmental Impact Report,Draft,05/22/2019,04/12/2019,Bureau of Reclamation,,CA
U-4738 Draft Environmental Impact Statement,Draft,05/17/2019,04/12/2019,Federal Highway Administration,USACE,NC
Continuation and Modernization of McMurdo Station Area Activities,Draft,,04/12/2019,National Science Foundation,,AQ
East Lake Tohopekaliga Drawdown and Habitat Enhancement,Draft,05/07/2019,04/12/2019,U.S. Army Corps of Engineers,EPA,FL
Environmental Impact Statement for an Early Site Permit at the Clinch River Nuclear Site,Final,04/23/2019,04/12/2019,Nuclear Regulatory Commission,USACE,TN
The Jordan Cove Energy Project,Draft,06/28/2019,04/05/2019,Federal Energy Regulatory Commission,"BLM, BR, DOE, DHS, EPA, USFWS, USFS, NOAA, USACE",OR
Tonto National Forest Motorized Travel Management,Draft Supplement,05/21/2019,04/05/2019,Forest Service,,AZ
East Side Coastal Resiliency (ESCR),Draft,,04/05/2019,"City of New York, Office of Management and Budget",,NY
"Generic Environmental Impact Statement for License Renewal of Nuclear Plants, Supplement 5, Second Renewal, Regarding Subsequent License Renewal for Turkey Point Nuclear Generating Unit Nos. 3 and 4",Draft Supplement,05/20/2019,04/05/2019,Nuclear Regulatory Commission,NPS,FL
"Project No. DPI-0030(005) I-10 Mobile River Bridge and Bayway, Mobile and Baldwin Counties, Alabama",Draft Supplement,,04/05/2019,Federal Highway Administration,"USACE, USCG",AL
"National Bison Range Draft Comprehensive Conservation Plan, Environmental Impact Statement, and Compatibility Determinations",Draft,05/16/2019,04/05/2019,Fish and Wildlife Service,BIA,MT
"Draft Tier 1 Environmental Impact Statement and Preliminary Section 4(f) Evaluation for Interstate 11 Corridor between Nogales and Wickenburg, Arizona",Draft,,04/05/2019,Federal Highway Administration,"BLM, BR, EPA, FAA, FRA, USFWS, USFS, NPS, USACE",AZ
Invasive Plant Management Draft Environmental Impact Statement  for the Bridger-Teton National Forest,Draft,05/16/2019,04/05/2019,Forest Service,,WY
ADOPTION - Texas LNG Project-Texas LNG Brownsville LLC,Final,,03/29/2019,Department of Energy,,TX
Acadia National Park Final Transportation Plan and EIS,Final,04/29/2019,03/29/2019,National Park Service,,ME
Lolo Insect & Disease Project,Final,04/22/2019,03/29/2019,Forest Service,,ID
Northwest Training and Testing Activities Draft Supplemental Environmental Impact Statement/Overseas Environmental Impact Statement,Draft Supplement,06/12/2019,03/29/2019,United States Navy,NMFS,WA - AK - CA - OR
"I-4400/I-4700 I-26 Widening Combined Final Environmental Impact Statement, Final Section 4(f) Evaluation, and Record of Decision",Final,04/12/2019,03/29/2019,Federal Highway Administration,NPS,NC
Supplemental Environmental Impact Statement Little Otter Creek Watershed Plan,Draft Supplement,05/10/2019,03/29/2019,Natural Resource Conservation Service,USACE,MO
Loxahatchee River Watershed Restoration Plan Draft Integrated Project Implementation Report and Environmental Impact Statement,Draft,05/01/2019,03/22/2019,U.S. Army Corps of Engineers,,FL
Texas LNG Project-Texas LNG Brownsville LLC,Final,,03/22/2019,Federal Energy Regulatory Commission,"DOE, DOT, EPA, FAA, USFWS, NOAA, NPS, USACE, USCG",TX
Sonoran Valley Parkway Project,Final,04/22/2019,03/22/2019,Bureau of Land Management,,AZ
Burning Man Event Special Recreation Permit Draft Environmental Impact Statement,Draft,04/26/2019,03/15/2019,Bureau of Land Management,"DHS, EPA",NV
ADOPTION - Federal Coal Lease Modifications COC-1362 and COC-67232,Final Supplement,,03/15/2019,Office of Surface Mining,,CO
Bering Sea - Western Interior Resource Management Plan and Environmental Impact Statement,Draft,,03/15/2019,Bureau of Land Management,USFWS,AK
Expansion and Modernization of the San Luis I Land Port of Entry,Draft,04/26/2019,03/15/2019,General Services Administration,,AZ
Boise & Sawtooth Forest-wide Invasive Plant Species Treatments,Final,,03/15/2019,Forest Service,,ID
"South Farallon Islands Invasive House Mouse Eradication Project; Farallon Islands National Wildlife Refuge, California",Final,04/15/2019,03/15/2019,Fish and Wildlife Service,,CA
U.S. Highway 85 - I-94 Interchange to Watford City Bypass,Final,,03/15/2019,Federal Highway Administration,"USFS, NPS, USACE",ND
South Sacramento Restoration Project,Draft,04/29/2019,03/15/2019,Forest Service,USFWS,NM
"Kachess Drought Relief Pumping Plant and Keechelus Reservoir-to-Kachess Reservoir Conveyance Projects Final Environmental Impact Statement, Kittitas and Yakima Counties, Washington",Final,,03/15/2019,Bureau of Reclamation,"BPA, USFS",WA
San Juan Mine Deep Lease Extension Mining Plan Modification,Final,,03/15/2019,Office of Surface Mining,"BLM, EPA, USFWS",NM
Mount Hope Project Supplemental Environmental Impact Statement,Draft Supplement,,03/08/2019,Bureau of Land Management,EPA,NV
I-15 Mile Post 11 Interchange,Draft,04/04/2019,03/08/2019,Utah Department of Transportation,,UT
Custer Gallatin Forest Plan Revision,Draft,06/05/2019,03/08/2019,Forest Service,,MT - SD
WITHDRAWN - Exchequer Restoration Project,Final,,03/01/2019,Forest Service,,CA
Pebble Mine,Draft,07/01/2019,03/01/2019,U.S. Army Corps of Engineers,"ACHP, DOT, EPA, USFWS, NPS, USCG",AK
Otay Mesa Land Port of Entry Modernization and Expansion,Final,,03/01/2019,General Services Administration,,CA
"Green Bank Observatory, Green Bank, West Virginia",Final,,02/22/2019,National Science Foundation,,WV
2019 Draft Integrated Resource Plan,Draft,03/28/2019,02/22/2019,Tennessee Valley Authority,,TN - AL - GA - KY - MS - NC - TN - VA
Don Pedro Hydroelectric Project and La Grange Hydroelectric Project,Draft,04/12/2019,02/22/2019,Federal Energy Regulatory Commission,,CA
"ADOPTION - Port Arthur Liquefaction Project, Texas Connector Project, and Louisiana Connector Project",Final,,02/15/2019,Department of Energy,,LA - TX
San Ysidro Land Port of Entry Improvements Project,Final Supplement,03/18/2019,02/15/2019,General Services Administration,,CA
Gemfield Mine Project,Draft,,02/15/2019,Bureau of Land Management,,NV
Crested Butte Mountain Resort Ski Area Projects,Final,03/27/2019,02/15/2019,Forest Service,,CO
Little Boulder,Final,03/28/2019,02/15/2019,Forest Service,,ID
Bog Creek Road Project,Final,,02/15/2019,U.S. Customs and Border Protection,USFS,ID
Polar Security Cutter Acquisition Program Final Programmatic Environmental Impact Statement,Final,03/15/2019,02/15/2019,U.S. Coast Guard,,AK - WA
"Acquisition of Site for Development of a Replacement Underground Safety Research Program Facility in Mace, West Virginia",Draft,04/04/2019,02/15/2019,Department of Health and Human Services,GSA,WV
Prado Basin Ecosystem Restoration and Water Conservation Study,Draft,03/26/2019,02/08/2019,U.S. Army Corps of Engineers,,CA
"Final Environmental Impact Statement to Analyze Impacts of NOAA¿s National Marine Fisheries Service Proposed Approval of Hatchery and Genetic Management Plans for spring Chinook salmon, steelhead, and rainbow trout in the Upper Willamette River Basin Pursuant to Section 7 and 4(d) of the Endangered Species Act",Final,03/07/2019,02/08/2019,National Marine Fisheries Service,,OR
"Port Arthur Liquefaction Project, Texas Connector Project, and Louisiana Connector Project",Final,,02/08/2019,Federal Energy Regulatory Commission,"DOE, DOT, EPA, USACE, USCG",LA - TX
Ohio Creek Watershed Project,Final,,02/08/2019,Department of Housing and Urban Development,USACE,VA
ADOPTION - Driftwood LNG Project,Final,,02/08/2019,Department of Energy,,LA
Issuance of an Incidental Take Permit and Implementation of a Habitat Conservation Plan for the R-Project Transmission Line,Final,,02/08/2019,Fish and Wildlife Service,,NE
Van Wyck Expressway Capacity and Access Improvements to JFK Airport,Draft,03/07/2019,02/01/2019,Federal Highway Administration,"EPA, FAA",NY
Mariana Islands Training and Testing Draft Supplemental Environmental Impact Statement/Overseas Environmental Impact Statement,Draft Supplement,04/09/2019,02/01/2019,United States Navy,NMFS,TT - GU
Northeast Supply Enhancement Project,Final,,02/01/2019,Federal Energy Regulatory Commission,"EPA, USACE",NY
Swan Lake North Pumped Storage Project,Final,02/25/2019,02/01/2019,Federal Energy Regulatory Commission,,OR
Yuba River Development Project,Final,02/28/2019,02/01/2019,Federal Energy Regulatory Commission,,CA
Driftwood LNG Project,Final,,02/01/2019,Federal Energy Regulatory Commission,"DOE, DOT, EPA, USACE, USCG",LA
Lafayette Regional Xpressway Tier 1,Draft,,02/01/2019,Federal Highway Administration,"USACE, USCG",LA
Amoruso Ranch,Draft,03/18/2019,02/01/2019,U.S. Army Corps of Engineers,EPA,CA
Resilient Bridgeport,Draft,03/18/2019,02/01/2019,Connecticut Department of Housing,"EPA, HUD",CT
Oakhill Parkway,Final,,02/01/2019,Texas Department of Transportation,"EPA, USFWS",TX
Long-Term Water Transfers,Draft Supplement,03/14/2019,02/01/2019,Bureau of Reclamation,,CA
Sunrise Vegetation and Fuels Management,Final,02/25/2019,02/01/2019,Forest Service,,WA
Coastal Plain Oil and Gas Leasing Program,Draft,,12/28/2018,Bureau of Land Management,"EPA, USFWS",AK
Disposition of Depleted Uranium Oxide Conversion Product Generated from DOE¿s Inventory of Depleted Uranium Hexafluoride,Draft Supplement,02/27/2019,12/28/2018,Department of Energy,,KY - NV - OH - TX - UT
Rangeland Grasshopper and Mormon Cricket Suppression Program,Draft,,12/28/2018,Animal and Plant Health Inspection Service,,PRO
Remediation of Area IV and the Northern Buffer Zone of the Santa Susana Field Laboratory,Final,02/04/2019,12/28/2018,Department of Energy,"NASA, USACE",CA
Lost Creek Uranium In-Situ Recover Project Modifications,Final,02/26/2019,12/28/2018,Bureau of Land Management,"EPA, USFWS, NRC",WY
State Management Program For Recreational Red Snapper Amendment 50A to the Fishery Management Plan for the Reef Fish Resources of the Gulf of Mexico,Draft,,12/21/2018,National Marine Fisheries Service,,AL - FL - LA - MS - TX
Amendment 11 to the 2006 Consolidated Atlantic Highly Migratory Species Fishery Management Plan,Final,,12/21/2018,National Marine Fisheries Service,NMFS,NAT
Annova LNG Brownville Project,Draft,03/11/2019,12/21/2018,Federal Energy Regulatory Commission,"DOE, DOT, EPA, FAA, USFWS, NOAA, NPS, USACE, USCG",TX
AP Loblolly Pine Removal and Restoration Project,Draft Supplement,02/21/2019,12/21/2018,Forest Service,,SC
Big South Fork National River and Recreation Area Final Contaminated Mine Drainage Mitigation and Treatment Programmatic and Site Specific Environmental Impact Statement,Final,02/04/2019,12/21/2018,National Park Service,"USFS, OSM, USACE",TN - KY
John Wood Forest Management Project,Draft,02/13/2019,12/21/2018,Forest Service,,ID
Cherry Creek Dam Safety Modification Study,Draft,02/14/2019,12/21/2018,U.S. Army Corps of Engineers,,CO
ADOPTION - DART Cotton Belt Corridor Regional Rail Project,Final,,12/14/2018,Federal Aviation Administration,,TX
Riley Ridge to Natrona,Final,01/31/2019,12/14/2018,Bureau of Land Management,,WY
I69 Ohio River Crossing Project,Draft,03/01/2019,12/14/2018,Federal Highway Administration,,KY - IN
Whittier Narrows Dam Safety Modification Study,Draft,02/14/2019,12/14/2018,U.S. Army Corps of Engineers,,CA
Black Mountain Vegetation Management Project,Draft,02/14/2019,12/14/2018,Forest Service,,OR
SR 710 North Study FEIR/FEIS,Final,02/01/2019,12/07/2018,California Department of Transportation,"USACE, EPA",CA
DART Cotton Belt Corridor Regional Rail Project,Final,,12/07/2018,Federal Transit Administration,FAA,TX
Draft Programmatic Environmental Impact Statement and National Historic Preservation Act Section 106 Consultation West Los Angeles Medical Center Campus Proposed Master Plan for Improvements and Reconfiguration,Draft,02/13/2019,12/07/2018,Department of Veteran Affairs,,CA
Vineyard Wind Offshore Wind Energy Project,Draft,02/21/2019,12/07/2018,Bureau of Ocean Energy Management,"USCG, EPA, NOAA, USACE",MA - RI
10 Salmon and Steelhead Hatchery Programs in the Duwamish-Green River Basin,Draft Supplement,,12/07/2018,National Marine Fisheries Service,BIA,WA
Transbay Transit Center Program,Final Supplement,12/20/2018,12/07/2018,Federal Transit Administration,FRA,CA
Upper Llagas Creek Flood Protection Project,Final,02/01/2019,12/07/2018,U.S. Army Corps of Engineers,FAA,CA
New Madawaska Land Port of Entry and International Bridge Project,Draft Supplement,02/11/2019,12/07/2018,General Services Administration,"USCG, FHWA",ME
Oregon Greater Sage-Grouse Proposed Resource Management Plan Amendment and Final Environmental Impact Statement,Final,12/20/2018,12/07/2018,Bureau of Land Management,,OR
Utah Greater Sage-Grouse Proposed Resource Management Plan Amendment and Final Environmental Impact Statement,Final,01/29/2019,12/07/2018,Bureau of Land Management,,UT
Northwest Colorado Greater Sage-Grouse Proposed Resource Management Plan Amendment and Final Environmental Impact Statement,Final,12/28/2018,12/07/2018,Bureau of Land Management,,CO
Wyoming Greater Sage-Grouse Proposed Resource Management Plan Amendment and Final Environmental Impact Statement,Final,12/26/2018,12/07/2018,Bureau of Land Management,,WY
Nevada and Northeastern California Greater Sage-Grouse Proposed Resource Management Plan Amendment and Final Environmental Impact Statement,Final,,12/07/2018,Bureau of Land Management,,NV - CA
Idaho Greater Sage Grouse Proposed Resource Management Plan Amendment and Final Environmental Impact Statement,Final,12/20/2018,12/07/2018,Bureau of Land Management,,ID
Cardinal-Hickory Creek 345-kV Transmission Line Project,Draft,03/29/2019,12/07/2018,Rural Utilities Service,"EPA, USFWS, USACE",IA - WI
"The Sevier Playa Potash Project, Utah",Draft,02/13/2019,11/30/2018,Bureau of Land Management,"DOD, EPA, USFWS",UT
